,start,beta,natom,nmol,energy
287,400,25,80,64,213.12647582207813
288,200,0,100,64,388.5132173284698
289,200,0,30,64,92.70723749465822
290,600,25,70,10,220.60976546683426
291,300,25,80,32,251.7066511784138
292,800,0,20,10,34.34426656347419
293,300,25,40,64,95.48857782086287
294,200,0,70,10,520.0166784890355
295,300,25,100,64,301.94050201535356
296,500,0,50,64,214.19515690498622
297,300,0,70,32,283.29064589994704
298,700,0,70,64,301.40853628845656
299,600,0,30,10,92.60921596273167
300,800,25,80,10,181.90126040779674
301,600,25,80,10,221.1154378983226
302,700,0,90,32,383.0056202370579
303,600,25,40,64,141.38135279896917
304,500,25,80,64,228.83949205835344
305,800,25,10,10,93.31115373986913
306,900,0,40,10,132.20410792614433
307,800,0,80,32,355.3980238263481
308,800,0,20,64,30.25945711981208
309,500,0,60,10,277.29047478991504
310,900,25,70,32,205.99266826903127
311,900,0,80,10,369.7977865791104
312,600,25,30,10,104.12889726305787
313,100,0,30,32,79.67885342728397
314,700,25,80,10,298.37974413992106
315,100,0,30,10,66.34805047612429
316,400,0,60,64,276.9734207577345
317,300,0,40,32,149.36618279928393
318,500,0,10,32,21.44873627422997
319,800,25,70,32,182.7600426501118
320,200,0,40,64,132.55713598325005
321,900,25,10,32,206.94227107675283
322,600,0,100,32,390.5489561418953
323,700,0,40,32,134.54473035813476
324,800,0,10,64,64.47822623132963
325,500,25,80,32,297.72911165094644
326,500,0,100,64,443.4962264691142
327,700,25,60,32,181.5550282808706
328,300,25,10,10,10.301357869878448
329,200,25,10,10,69.46132521715785
330,300,25,90,10,236.2805432309107
331,200,0,40,10,170.2361853331497
332,100,25,60,32,161.48359055387556
333,600,0,40,10,130.80473496962617
334,700,0,30,32,108.51830007779131
335,600,25,40,32,172.99132221592097
336,400,25,80,10,286.1821124997907
337,500,25,20,64,57.67672748873726
338,600,25,60,32,177.17932821711918
339,200,25,70,32,163.8379993966954
340,500,25,50,32,142.84084443633063
341,400,25,50,32,145.23073278107262
342,900,25,100,10,272.4110043830418
343,800,25,40,10,87.4616290244489
344,400,25,60,10,217.17082123414215
345,900,25,80,10,174.74669342360647
346,800,25,100,10,247.10627211716528
347,200,25,100,32,237.58424629160308
348,700,25,30,10,70.97338500517829
349,100,0,10,64,834644.2964829303
350,300,0,70,64,303.03843933155326
351,900,0,10,64,26.328576066071683
352,600,0,30,32,68.90977073534431
353,700,25,10,64,101.06691280196519
354,600,25,10,10,86.13869050664874
355,400,25,40,64,132.4664967160997
356,100,0,20,10,54.79819892645742
357,100,25,70,10,144.35876250430164
358,900,25,40,10,98.0717427999978
359,800,25,10,64,81.13788372914453
360,500,25,20,10,37.27725978438301
361,100,0,40,10,136.74808179357098
362,700,0,60,10,304.03049410011533
363,700,0,90,10,414.9594467209111
364,600,25,80,32,298.71116829975324
365,300,0,40,10,177.515614528311
366,800,25,50,32,147.5509957465914
367,100,25,20,64,24.660281160530097
368,900,25,90,10,285.2723666118309
369,100,0,20,64,41.06786544729203
370,900,0,10,10,48.680497149360605
371,600,0,100,64,440.4910578439342
372,900,25,50,10,297.38681306500433
373,400,0,80,10,251.6907220738455
374,800,25,30,32,77.76426244616519
375,200,0,90,64,376.9469030859043
376,600,0,10,10,44.33340973952514
377,400,25,30,32,93.8562823923794
378,700,25,70,64,191.55350530322337
379,500,0,100,10,378.8054620205131
380,400,25,100,10,388.71057990794867
381,900,25,100,64,330.23094943586443
382,800,0,70,32,315.54584041683546
383,200,0,70,64,273.0842724127521
384,900,25,70,10,308.7620607139078
385,200,0,90,10,487.2585075671668
386,300,0,60,32,228.70484517838716
387,900,25,10,64,106.8947833391863
388,900,25,20,32,66.3630128794997
389,100,0,80,64,351.9756565522882
390,300,0,20,32,20.83696665271919
391,100,25,30,32,51.562273099788506
392,700,25,20,10,5.208542001898525
393,700,25,80,64,240.8418678339306
394,500,0,30,10,151.4498284447439
395,400,25,70,64,199.32060276951123
396,900,25,100,32,234.76749788030946
397,500,25,30,32,127.59053157494377
398,400,25,80,32,187.64374984812386
399,200,25,80,10,210.88147980495228
400,200,25,90,64,231.334457809475
401,600,0,90,32,395.6518968162928
402,700,0,20,32,32.64923701712944
403,900,0,80,64,356.89748807074125
404,100,25,80,10,216.12997319715035
405,800,0,80,10,243.3323370644363
406,500,25,10,32,76.99748598409745
407,400,0,90,64,382.90970059663994
408,600,0,40,10,135.44594230622982
409,200,25,30,64,68.03580995816127
410,400,0,30,10,67.6082620410437
411,800,25,60,10,147.54301778796167
412,500,0,60,64,250.87116514759418
413,300,0,20,64,46.03656980166771
414,600,25,50,32,131.1266068383159
415,300,25,30,10,65.00008218219592
416,900,25,30,10,80.63366046514565
417,900,0,60,64,259.56724507631134
418,100,25,10,32,30.55164443459348
419,300,0,80,64,317.3035811720118
420,600,25,50,64,129.0670264611038
421,200,25,70,64,193.9263201900975
422,300,25,70,32,193.1512776518103
423,400,0,50,10,247.2243815100466
424,200,25,10,32,35.083585680353366
425,800,0,40,32,155.84844909398237
426,800,25,50,10,329.06306490584916
427,200,25,40,32,97.5935181573001
428,700,25,10,32,90.15287246663341
429,800,25,40,32,93.43931415873494
430,100,25,40,10,77.00771674186583
431,600,25,90,64,277.43678019751513
432,800,25,20,32,156.1552083233735
